empCode,ExtEmpID,jobTitle
empCode,ExtEmpID,jobTitle
1587,603458, Asst F&B Coordinator
1744,604023, Asst HSE Coordinator
1437,603030, Commis 1
1571,603398, Commis 1
1553,603268, Commis 1
1471,603079, commis 1
1473,603087, commis 1
1563,603417, Commis 1
1361,602850, Commis 1
1173,602785, Commis 1
1645,603683, Exec Sous Chef
1554,603267, Jr. Chef de partie
1509,603192, Purchase Manager
1590,603473, Restaurant Manager
1278,601453, Sr. Steward
1362,602881, Sr. Steward
1592,603482, Sr. Steward
1642,603708, Sr. Steward
1386,602880, Sr. Steward
1484,603109, Sr. Steward
1482,603127, Sr. Steward
1503,603191, Sr. Steward
1364,602854, Sr. Steward
1506,603202, Sr. Steward
1283,602717, Sr. Steward
1604,603504, Sr. Steward
1581,603438, Sr. Waiter
1575,603453, Sr. Waiter
1623,603627, Sr. Waiter
1541,603332, Sr. Waiter
1238,600483, Sr.Chef de partie 
1625,603634, Supervisor
1460,603067, Supervisor
1462,603068, Supervisor
1549,603362, Supervisor
1668,603840, Tr. Supervisor
1179,602317, Tr. Supervisor
1639,603669, Waitress
1290,602776,Assist. Store Keeper
1220,601748,Asst F&B Office Manager
1858,604391,Asst. Catering Supervisor
1200,602716,Asst. Operations Manager
1520,603233,Asst. Store Keeper
1524,603249,Barista
1511,603221,Barista
1231,31355,BOH Manager
1693,603931,Catering Manager
1255,602121,Catering Supervisor
1219,34792,Catering Supervisor
1279,602693,Catering Supervisor
1193,601504,Chef de partie
1230,602253,Chef de partie
1161,32891,Chef de partie
1302,601390,Chef de partie
1299,602400,Chef de partie
1954,604694,Chef de Partie
1264,601778,Chief Operating Officer
1187,602636,Commis 1
1300,602201,Commis 2
1273,601939,Commis 3
1851,603760,Cost Controller
1849,39580,Finance Manager
1666,603818,Head of Institutional catering Operations
1774,604226,HR Admin Asst.
1803,604234,HSE Officer
1850,603748,Income Auditor
1715,603989,Jr. Sous Chef
1719,603990,Jr. Sous Chef
1171,601620,Jr. Stewarding Supervisor
1146,601144,Kitchen Steward
1269,35066,Operations Manager
1768,604072,Operations Manager
1203,602034,People Operations Officer
1794,604249,Sr.Chef De Partie
1147,602229,Stewarding Supervisor
1456,603047,Waiter
1435,602987,Waiter
1516,603219,Waiter
1476,603103,Waitress
