Employee Id,Probation End Date,Ticket Entitlement Date,Dept Code,Job Title
600631,20181005,20251001,4,Barber
602643,20220906,20270310,7,Cleaner
29773,20160328,20251001,4,Driver
600272,20171124,20251001,7,Multi Technician
600987,20190328,20251001,4,Driver
600262,20170819,20251001,4,Driver
602659,20220906,20270310,7,Cleaner
602723,20221007,20270410,7,Cleaner
601231,20190802,20251001,11,Irrigation Technician
33094,20140808,,4,Civil Foreman
602649,20220902,20270306,7,Cleaner
19762,20160328,20151001,4,Driver ( Cat 3)
21772,20160328,20251001,4,VIP Waiter (Barista/Juice Maker)
600802,20181114,20251001,7,Cleaning Team Leader
28813,20160328,20251001,4,Pantry Boy
602199,20211211,20260614,7,Cleaner
19797,20160328,20151001,4,Driver (Cat 3) - Supervisor L1
600977,20190203,20251001,4,Pantry Boy
35275,20140622,20251001,6,Helper
602553,20220731,20270201,7,Civil Technician.
600942,20190118,20251001,7,FF Technician
602255,20220305,20260906,7,Multi Technician
602093,20210911,20260315,7,Fire Alarm Technician
600782,20181120,20251001,7,Team Leader
602149,20211011,20260414,11,Gardener
21783,20160328,20251001,7,Team Leader
601928,20210521,20251122,11,Gardener
31334,20160328,20251001,4,Driver
600999,20190614,20251001,11,Gardener
602751,20221018,20270421,7,Cleaner
600244,20170706,20251001,4,Driver
602316,20220424,20261026,6,Painter
29886,20160328,,4,Gym Instructor (Certified) L2
600303,20171201,20251001,7,SME Team Leader
602197,20211211,20260614,7,Cleaner
32886,20130816,20251001,4,Driver
600351,20180119,20251001,7,Multi Technician
602345,20220509,20261110,7,FF Technician
602195,20211211,20260614,7,Cleaner
602674,20220911,20270315,7,Cleaner
601308,20190927,20251001,7,Civil/Plumber Technician
602272,20220402,20261004,7,Techinician
601967,20210329,20251001,4,Office Boy
601770,20201109,20251001,10,Driver
35427,20141115,20251001,4,Pantry Boy
600515,20180525,20251001,10,Driver
600253,20170901,20251001,11,Gardener
601096,20190607,20251001,7,Multi Technician
600466,20180518,20251001,7,Multi Technician
600248,20170811,20251001,11,Gardener
600146,20170526,20251001,7,Multi Technician
601956,20210708,20260109,4,Gym Helper L3
602334,20220507,20261108,7,Techinician
602181,20211204,20260607,7,Multi Technician
600994,20190506,20251001,7,Cleaner
600993,20190506,20251001,7,Cleaner
19802,20160328,20251001,10,Driver
601301,20190830,20251001,4,Pantry Boy
602724,20221007,20270410,7,Cleaner
600413,20180406,,4,Coffee Machine Service Supervisor
21777,20160328,20251001,4,Driver ( Cat 3)
602169,20211106,20260510,7,Multi Technician
601521,20200515,20251001,4,Car Washer
39582,20170120,,7,Facilities Engineer
602637,20220902,20270306,4,Office Boy
25676,20160328,20251001,4,Driver
31738,20130124,20251001,4,Pantry Boy
601445,20200131,20251001,7,Multi Technician
602496,20220729,20270130,4,Barber
602742,20221018,20270421,6,Painter
37618,20151119,20251001,4,Driver
601913,20210421,20251024,7,Cleaner
601347,20190920,20251001,7,Multi Technician
601024,20190522,20251001,7,Cleaner
602537,20220728,20270129,7,Cleaner
601987,20210712,20260113,7,Cleaner
602437,20220726,20270127,7,Cleaner
602455,20220725,20270126,7,Cleaner
602436,20220725,20270126,7,Cleaner
602435,20220731,20270201,7,Cleaner
602759,20221104,20270508,7,Cleaner
602555,20220728,20270129,7,Cleaner
601580,20200830,20251001,7,Cleaner
601978,20210705,20260106,7,Cleaner
602539,20220728,20270129,7,Cleaner
601973,20210705,20260106,7,Cleaner
602577,20220731,20270201,7,Cleaner
602504,20220725,20270126,7,Cleaner
600243,20170728,,4,Document Controller
602692,20220923,20270327,4,Automobile Technician
602750,20221025,,12,Jr. Mechanical Engin
600862,20181221,20251001,4,Pantry Boy
600186,20170714,20251001,6,Chargehand Fit Out
601500,20200525,20251001,7,Cleaner
600948,20190412,20251001,7,Civil/Plumber Technician
602811,20221224,20270627,4,IT helper
600939,20190308,,4,Physiotherapist
602594,20220815,20270216,7,Cleaner
602475,20220725,20270126,7,Cleaner
602194,20211211,20260614,7,Cleaner
601438,20200313,20251001,7,Cleaner
21779,20160328,20251001,4,Pantry Boy
